DR2Name,Prot_Final,Class,Quality,Double,Multi,Eclipsing_Binary,Contaminated,Spot_Evolution,Flares,Notes,RA,Dec,Gmag,BP_RP,Prot,Prot_LS,Power_LS,TESS_Data
Gaia DR2 609760119082030592,-1.0,,,,,,,,,,131.930189,15.122597,18.70672916,3.1588,-1,0.0,0.0,No
Gaia DR2 609857047904101248,-1.0,,,,,,,,,,133.127677,15.582959,12.067272,1.092,-1,0.0,0.0,No
Gaia DR2 610005241455493632,-1.0,,,,,,,,,,131.972158,15.696974,17.456099,2.9889,-1,0.0,0.0,No
Gaia DR2 610086944617465088,-1.0,,,,,,,,,,131.331242,16.119459,18.83052116,3.1186,-1,0.0,0.0,No
Gaia DR2 610136701814354560,-1.0,,,,,,,,,,132.451543,16.13098,12.285386,1.1151,-1,0.0,0.0,No
Gaia DR2 610158378513683712,-1.0,,,,,,,,,,132.334904,16.448442,17.745771,3.1908,-1,0.0,0.0,No
Gaia DR2 610194662397070080,-1.0,,,,,,,,,,131.848653,16.413652,18.070705,2.9352,-1,0.0,0.0,No
Gaia DR2 610194902914961664,-1.0,,,,,,,,,,131.808821,16.396496,10.511785,0.7466,-1,0.0,0.0,No
Gaia DR2 610337873786504320,-1.0,,,,,,,,,,134.680438,15.235818,17.20845,3.1093,-1,0.0,0.0,No
Gaia DR2 610439857785460992,-1.0,,,,,,,,,,135.842041,15.832068,16.732035,2.9169,-1,0.0,0.0,No
Gaia DR2 610609831115899776,-1.0,,,,,,,,,,133.866779,15.695571,18.216173,3.0068,-1,0.0,0.0,No
Gaia DR2 610861314336282496,-1.0,,,,,,,,,,136.558073,16.405172,16.05296,2.6674,-1,0.0,0.0,No
Gaia DR2 610888389810133760,-1.0,,,,,,,,,,136.209274,16.445864,15.911111,2.5879,-1,0.0,0.0,No
Gaia DR2 610928865581927552,-1.0,,,,,,,,,,136.175694,16.618681,16.841494,2.6177,-1,0.0,0.0,No
Gaia DR2 611226283477230976,-1.0,,,,,,,,,,136.435513,17.097546,10.205467,0.7955,-1,0.0,0.0,No
Gaia DR2 611238962220667264,-1.0,,,,,,,,,,136.622946,17.336761,16.03204,2.7899,-1,0.0,0.0,No
Gaia DR2 611283011405161728,-1.0,,,,,,,,,,136.659463,17.659128,15.680672,2.408,-1,0.0,0.0,No
Gaia DR2 611340426527962368,-1.0,,,,,,,,,,136.720359,17.903288,13.722612,1.8034,-1,0.0,0.0,No
Gaia DR2 611443230866052608,-1.0,,,,,,,,,,133.415737,16.228704,16.269482,2.965,-1,0.0,0.0,No
Gaia DR2 611689448454841600,-1.0,,,,,,,,,,133.384702,16.84631,18.639837,2.8557,-1,0.0,0.0,No
Gaia DR2 611694572352053504,-1.0,,,,,,,,,,133.377703,16.988537,9.369868,0.5503,-1,0.0,0.0,No
Gaia DR2 611711030666633216,-1.0,,,,,,,,,,133.319406,17.169451,16.15136,2.5895,-1,0.0,0.0,No
Gaia DR2 611886230972558336,-1.0,,,,,,,,,,133.268284,17.741985,16.807451,2.8563,-1,0.0,0.0,No
Gaia DR2 611917017298087552,-1.0,,,,,,,,,,133.364503,17.975988,16.497328,2.6117,-1,0.0,0.0,No
Gaia DR2 612157157509901568,-1.0,,,,,,,,,,135.186115,18.162737,16.752726,3.1111,-1,0.0,0.0,No
Gaia DR2 612270540350655616,-1.0,,,,,,,,,,134.663002,18.286491,11.495299,1.0963,-1,0.0,0.0,No
Gaia DR2 612441892365373184,-1.0,,,,,,,,,,134.467923,18.835285,18.94357316,3.2301,-1,0.0,0.0,No
Gaia DR2 612455056441184256,-1.0,,,,,,,,,,135.060552,18.908045,18.33244316,3.3569,-1,0.0,0.0,No
Gaia DR2 612468658601702272,-1.0,,,,,,,,,,135.044268,19.123158,18.235502,3.2806,-1,0.0,0.0,No
Gaia DR2 627522385830328320,-99.0,Garbage,-1,0,0,0,0,0,0,,147.11013,19.67168,11.125748,1.1173,,20.34287949,0.1650062444,Yes
Gaia DR2 631903042018477440,-1.0,,,,,,,,,,139.920399,17.346485,12.348464,1.2899,-1,0.0,0.0,No
Gaia DR2 632172628525953792,-1.0,,,,,,,,,,139.341235,17.936728,18.23855016,3.5045,-1,0.0,0.0,No
Gaia DR2 632625425453739904,-1.0,,,,,,,,,,140.75607,18.477657,14.537644,2.1631,-1,0.0,0.0,No
Gaia DR2 632738395977951488,-1.0,,,,,,,,,,140.474744,19.042124,12.623982,1.3123,-1,0.0,0.0,No
Gaia DR2 635955704439525248,-1.0,,,,,,,,,,138.149484,19.68137,14.24162991,2.2285,-1,0.0,0.0,No
Gaia DR2 636134890475398144,-1.0,,,,,,,,,,136.325701,18.287624,17.210737,2.9796,-1,0.0,0.0,No
Gaia DR2 636535048284271360,-1.0,,,,,,,,,,135.730144,19.778397,15.908156,2.6461,-1,0.0,0.0,No
Gaia DR2 637001790970237824,-1.0,,,,,,,,,,136.8176,20.451866,16.265564,2.7465,-1,0.0,0.0,No
Gaia DR2 637058175299995392,-1.0,,,,,,,,,,136.899427,20.645876,17.980398,3.0824,-1,0.0,0.0,No
Gaia DR2 637487568950534656,-1.0,,,,,,,,,,141.137715,20.839996,16.96534,2.9768,-1,0.0,0.0,No
Gaia DR2 638456200039611904,-1.0,,,,,,,,,,138.928246,21.119965,18.36771016,3.3456,-1,0.0,0.0,No
Gaia DR2 641540811192024960,-99.0,Garbage,-1,0,0,0,0,0,0,,145.641733,23.389227,9.609781,0.6507,,19.19301765,0.1769583859,Yes
Gaia DR2 643060821593008512,99.0,Flat,0,0,0,0,0,0,0,,148.287761,24.44434,15.861155,2.6735,,1.837390203,0.01807439188,Yes
Gaia DR2 643106206512212992,-1.0,,,,,,,,,,147.929482,24.49375,16.783495,2.9918,-1,0.0,0.0,No
Gaia DR2 644175004829189376,-1.0,,,,,,,,,,143.946005,22.936192,16.668121,2.9128,-1,0.0,0.0,No
Gaia DR2 645665255401651712,-99.0,Garbage,-1,0,0,0,0,0,0,,141.560887,25.437244,9.741121,0.7561,,10.32412498,0.3263118504,Yes
Gaia DR2 646136563637486720,99.0,Flat,0,0,0,0,0,0,0,,143.608631,26.239159,15.62506,2.6483,,2.988965976,0.02880022549,Yes
Gaia DR2 646992292921561088,-1.0,,,,,,,,,,148.07867,26.88303,17.04513316,3.347,-1,0.0,0.0,No
Gaia DR2 647706842335913856,-99.0,Garbage,-1,0,0,0,0,0,0,Clearly some signal but need a different light curve,144.045791,27.178825,11.635965,1.0923,,7.306757473,0.3854374709,Yes
Gaia DR2 649007835174417792,-1.0,,,,,,,,,,123.985946,11.567431,18.87043916,3.2572,-1,0.0,0.0,No
Gaia DR2 649026153212537088,99.0,Flat,0,0,0,0,0,0,0,,123.469552,11.465626,15.844883,2.3441,,21.45121808,0.0249793257,Yes
Gaia DR2 649104046738317056,-1.0,,,,,,,,,,124.950842,11.107662,17.292206,2.7171,-1,0.0,0.0,No
Gaia DR2 649107684574424320,-1.0,,,,,,,,,,125.159704,11.125769,16.2614748,2.4907,-1,0.0,0.0,No
Gaia DR2 649355491303446528,-1.0,,,,,,,,,,125.819008,12.415053,17.432571,2.6406,-1,0.0,0.0,No
Gaia DR2 649539625142292480,-1.0,,,,,,,,,,125.535417,12.413107,16.16298,2.5598,-1,0.0,0.0,No
Gaia DR2 649562783605822976,-99.0,Garbage,-1,0,0,0,0,0,0,,125.252196,12.690149,9.521263,0.5222,,3.323533301,0.2069022499,Yes
Gaia DR2 649907446141414912,9.556893565,Good,1,0,0,0,0,0,0,The two sectors show essentially the same period but they're out of phase,123.181051,12.422546,12.163678,1.1011,,4.878956744,0.5929554885,Yes
Gaia DR2 650709054541061632,-1.0,,,,,,,,,,123.556555,13.763854,17.806246,2.9115,-1,0.0,0.0,No
Gaia DR2 650990396374509568,-1.0,,,,,,,,,,127.055494,13.140706,10.36622,0.7548,-1,0.0,0.0,No
Gaia DR2 651156147752395008,-1.0,,,,,,,,,,125.447584,13.454133,13.658155,1.496,-1,0.0,0.0,No
Gaia DR2 651180268288716672,-1.0,,,,,,,,,,125.549755,13.52234,16.515501,2.9227,-1,0.0,0.0,No
Gaia DR2 651253145293821824,-1.0,,,,,,,,,,126.676299,13.941059,16.70699,2.6301,-1,0.0,0.0,No
Gaia DR2 651308258314059264,-1.0,,,,,,,,,,126.706918,14.108773,16.060009,2.4794,-1,0.0,0.0,No
Gaia DR2 651483454323649408,-1.0,,,,,,,,,,128.871119,14.080521,18.66598916,3.2885,-1,0.0,0.0,No
Gaia DR2 651725626056126720,-1.0,,,,,,,,,,127.135488,14.598758,15.275574,2.1299,-1,0.0,0.0,No
Gaia DR2 651772320940655104,-1.0,,,,,,,,,,128.094271,14.893659,14.34408,1.8216,-1,0.0,0.0,No
Gaia DR2 651837948040931840,-1.0,,,,,,,,,,127.872097,15.100228,15.834295,2.5043,-1,0.0,0.0,No
